COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
49,3850.26,4086.67,4205.64,4411.79,4482.56,4671.28,4487.18,4426.15,4154.36,4495.9,4874.36,4490.26,4381.54,4612.82,1700,1695,5.867,0,0,0,0
50,3848.21,4084.62,4205.13,4410.77,4505.13,4667.69,4481.03,4424.62,4149.23,4495.38,4871.28,4489.74,4377.44,4608.21,1701,1694,5.875,0,0,0,0
51,3851.28,4082.05,4210.26,4408.21,4483.08,4674.87,4484.1,4429.74,4153.33,4505.64,4877.44,4487.18,4390.26,4613.33,1701,1695,5.883,0,0,0,0
52,3857.95,4085.64,4216.92,4409.74,4454.87,4677.95,4489.23,4435.9,4156.41,4508.21,4888.72,4498.46,4401.54,4623.59,1700,1694,5.891,0,0,0,0
53,3865.13,4090.26,4217.44,4411.28,4469.74,4669.23,4492.82,4446.15,4151.79,4506.67,4894.36,4507.18,4400,4630.77,1700,1694,5.899,0,0,0,0
54,3861.54,4093.33,4213.85,4412.31,4493.33,4657.95,4485.64,4442.56,4138.46,4508.72,4886.15,4497.95,4397.44,4627.69,1701,1695,5.906,0,0,0,0
55,3853.33,4089.23,4207.69,4411.28,4475.38,4658.46,4478.97,4424.1,4126.15,4500,4873.33,4487.69,4390.77,4617.95,1701,1696,5.914,0,0,0,0
56,3849.74,4076.41,4198.97,4405.64,4450.77,4672.82,4485.64,4421.03,4121.54,4486.67,4868.72,4485.13,4383.59,4611.28,1702,1695,5.922,0,0,0,0
57,3848.21,4072.82,4192.82,4403.59,4480.51,4672.82,4485.13,4428.72,4124.1,4481.03,4866.67,4477.44,4383.08,4610.77,1702,1694,5.93,0,0,0,0
58,3852.82,4084.62,4197.44,4406.67,4511.28,4659.49,4477.95,4430.77,4132.82,4496.41,4868.72,4477.95,4393.33,4619.49,1701,1693,5.938,0,0,0,0
59,3860,4089.23,4206.15,4408.72,4487.18,4671.79,4486.15,4428.72,4138.97,4518.97,4875.38,4491.28,4398.97,4626.67,1702,1693,5.946,0,0,0,0
60,3857.95,4082.56,4203.59,4409.74,4461.54,4692.82,4500,4430.26,4137.95,4512.82,4875.9,4490.26,4394.36,4621.54,1701,1691,5.954,0,0,0,0
61,3852.31,4083.59,4196.92,4408.72,4490.26,4678.97,4492.82,4430.77,4136.92,4497.95,4877.95,4484.62,4394.87,4616.92,1700,1692,5.962,0,0,0,0
62,3856.41,4089.74,4200,4407.69,4528.72,4655.38,4478.46,4425.13,4132.31,4502.05,4881.54,4489.23,4396.92,4619.49,1701,1691,5.969,0,0,0,0
63,3856.92,4089.74,4208.21,4408.72,4509.74,4663.08,4484.1,4432.31,4135.38,4509.74,4874.87,4494.36,4390.77,4622.05,1700,1693,5.977,0,0,0,0
64,3851.79,4080,4207.69,4403.59,4468.72,4681.03,4494.36,4445.64,4149.74,4508.72,4874.36,4494.36,4392.82,4624.62,1701,1694,5.985,0,0,0,0
65,3851.28,4074.87,4198.97,4397.44,4476.41,4675.38,4485.13,4434.36,4145.64,4502.05,4881.54,4491.28,4399.49,4622.05,1699,1695,5.993,0,0,0,0
66,3850.77,4083.59,4198.46,4401.03,4523.08,4657.44,4469.23,4423.08,4131.79,4493.33,4876.41,4491.28,4393.85,4619.49,1701,1696,6.001,0,0,0,0
67,3860,4094.36,4215.9,4411.79,4538.97,4661.03,4478.97,4443.08,4146.15,4509.23,4884.1,4504.62,4401.03,4633.85,1700,1695,6.009,0,0,0,0
68,3868.72,4094.36,4223.08,4413.33,4520.51,4685.64,4493.85,4453.85,4161.03,4529.74,4902.05,4510.26,4421.54,4641.54,1700,1695,6.017,0,0,0,0
69,3860,4088.72,4208.21,4407.69,4530.26,4691.79,4485.64,4438.46,4153.85,4513.85,4897.95,4500.51,4419.49,4630.77,1701,1693,6.024,0,0,0,0
70,3859.49,4091.79,4207.69,4409.74,4554.87,4675.38,4478.46,4439.49,4154.87,4506.67,4886.67,4504.1,4410.77,4633.85,1701,1693,6.033,0,0,0,0
71,3869.23,4096.41,4217.95,4413.85,4542.05,4666.67,4487.18,4451.79,4160.51,4522.05,4882.56,4509.74,4406.15,4638.97,1701,1693,6.04,0,0,0,0
72,3863.59,4092.82,4210.26,4410.26,4531.79,4672.82,4488.72,4442.05,4147.18,4507.69,4874.36,4495.38,4392.31,4621.54,1700,1694,6.047,0,0,0,0
